,comment
0,minds people choose targets absolute evil absolute stupidity
1,knockedout ukrainian bv olkhovka region
2,footage severodonetsk fighting city
3,isw maps ukraine
4,huge disconnect ukrainian soldiers front
5,minds people choose targets absolute evil absolute stupidity
6,knockedout ukrainian bv olkhovka region
7,footage severodonetsk fighting city
8,isw maps ukraine
9,huge disconnect ukrainian soldiers front
10,minds people choose targets absolute evil absolute stupidity
11,knockedout ukrainian bv olkhovka region
12,footage severodonetsk fighting city
13,isw maps ukraine
14,huge disconnect ukrainian soldiers front
15,minds people choose targets absolute evil absolute stupidity
16,knockedout ukrainian bv olkhovka region
17,footage severodonetsk fighting city
18,isw maps ukraine
19,huge disconnect ukrainian soldiers front
20,minds people choose targets absolute evil absolute stupidity
21,knockedout ukrainian bv olkhovka region
22,footage severodonetsk fighting city
23,isw maps ukraine
24,huge disconnect ukrainian soldiers front
25,minds people choose targets absolute evil absolute stupidity
26,knockedout ukrainian bv olkhovka region
27,footage severodonetsk fighting city
28,isw maps ukraine
29,huge disconnect ukrainian soldiers front
30,minds people choose targets absolute evil absolute stupidity
31,knockedout ukrainian bv olkhovka region
32,footage severodonetsk fighting city
33,isw maps ukraine
34,huge disconnect ukrainian soldiers front
35,minds people choose targets absolute evil absolute stupidity
36,knockedout ukrainian bv olkhovka region
37,footage severodonetsk fighting city
38,isw maps ukraine
39,huge disconnect ukrainian soldiers front
40,minds people choose targets absolute evil absolute stupidity
41,knockedout ukrainian bv olkhovka region
42,footage severodonetsk fighting city
43,isw maps ukraine
44,huge disconnect ukrainian soldiers front
45,minds people choose targets absolute evil absolute stupidity
46,knockedout ukrainian bv olkhovka region
47,footage severodonetsk fighting city
48,isw maps ukraine
49,huge disconnect ukrainian soldiers front
50,minds people choose targets absolute evil absolute stupidity
51,knockedout ukrainian bv olkhovka region
52,footage severodonetsk fighting city
53,isw maps ukraine
54,huge disconnect ukrainian soldiers front
55,minds people choose targets absolute evil absolute stupidity
56,knockedout ukrainian bv olkhovka region
57,footage severodonetsk fighting city
58,isw maps ukraine
59,huge disconnect ukrainian soldiers front
60,minds people choose targets absolute evil absolute stupidity
61,knockedout ukrainian bv olkhovka region
62,footage severodonetsk fighting city
63,isw maps ukraine
64,huge disconnect ukrainian soldiers front
65,minds people choose targets absolute evil absolute stupidity
66,knockedout ukrainian bv olkhovka region
67,footage severodonetsk fighting city
68,isw maps ukraine
69,huge disconnect ukrainian soldiers front
70,minds people choose targets absolute evil absolute stupidity
71,knockedout ukrainian bv olkhovka region
72,footage severodonetsk fighting city
73,isw maps ukraine
74,huge disconnect ukrainian soldiers front
75,minds people choose targets absolute evil absolute stupidity
76,knockedout ukrainian bv olkhovka region
77,footage severodonetsk fighting city
78,isw maps ukraine
79,huge disconnect ukrainian soldiers front
80,minds people choose targets absolute evil absolute stupidity
81,knockedout ukrainian bv olkhovka region
82,footage severodonetsk fighting city
83,isw maps ukraine
84,huge disconnect ukrainian soldiers front
85,minds people choose targets absolute evil absolute stupidity
86,knockedout ukrainian bv olkhovka region
87,footage severodonetsk fighting city
88,isw maps ukraine
89,huge disconnect ukrainian soldiers front
90,minds people choose targets absolute evil absolute stupidity
91,knockedout ukrainian bv olkhovka region
92,footage severodonetsk fighting city
93,isw maps ukraine
94,huge disconnect ukrainian soldiers front
95,minds people choose targets absolute evil absolute stupidity
96,knockedout ukrainian bv olkhovka region
97,footage severodonetsk fighting city
98,isw maps ukraine
99,huge disconnect ukrainian soldiers front
100,minds people choose targets absolute evil absolute stupidity
101,knockedout ukrainian bv olkhovka region
102,footage severodonetsk fighting city
103,isw maps ukraine
104,huge disconnect ukrainian soldiers front
105,minds people choose targets absolute evil absolute stupidity
106,knockedout ukrainian bv olkhovka region
107,footage severodonetsk fighting city
108,isw maps ukraine
109,huge disconnect ukrainian soldiers front
110,minds people choose targets absolute evil absolute stupidity
111,knockedout ukrainian bv olkhovka region
112,footage severodonetsk fighting city
