内容,主题概率,主题类型
味道鲜美 很棒,"[(0, 0.05584052), (1, 0.055559553), (2, 0.055887673), (3, 0.7215931), (4, 0.055559594), (5, 0.055559594)]",3
肉质 细嫩 感觉 味道 不错 火锅 朋友 聚餐 食饭 家人 聚会 肉丸 不错 小哥 京东 商城,"[(2, 0.7669298), (4, 0.19345118)]",2
海欣 产品 豆腐 蟹肉 鱼丸 味道 不错 杂味 鱼丸 火锅 涮锅 感觉 米线 幸福感 京东 物流 京东 小哥 保鲜 保鲜袋 交货 结实 不错,"[(2, 0.8705622), (4, 0.10156199)]",2
商品 丸子 火锅 很劲 口感 杂牌 丸子 动手 京东 商品质量 退换货 物流,"[(0, 0.09468198), (1, 0.012931923), (2, 0.52215517), (3, 0.21340041), (4, 0.14391008), (5, 0.01292046)]",2
丸子 常备,"[(0, 0.055712808), (1, 0.055649128), (2, 0.7219201), (3, 0.055566184), (4, 0.0555827), (5, 0.055569123)]",2
京东 京东 大件 小件 驿站 火锅 材料 很鲜 糖水 京东,"[(0, 0.015448914), (1, 0.11795714), (2, 0.56471944), (3, 0.12951264), (4, 0.15686658), (5, 0.015495266)]",2
丸子 够吃 不错 事儿 不错,"[(0, 0.02785844), (1, 0.027835468), (2, 0.677443), (3, 0.027817657), (4, 0.027883193), (5, 0.21116218)]",2
便宜 品牌 丸子,"[(0, 0.041739613), (1, 0.04183241), (2, 0.79082656), (3, 0.041740205), (4, 0.04203798), (5, 0.041823275)]",2
鱼丸 习惯,"[(0, 0.055559903), (1, 0.05558805), (2, 0.41632184), (3, 0.361354), (4, 0.05561594), (5, 0.0555603)]",2
牛丸 汤汁 感觉 味道 一家人 火锅 丸子 丸子 白菜 吃货 灵魂 京东,"[(0, 0.012846359), (1, 0.012844298), (2, 0.9357203), (3, 0.012849827), (4, 0.012903604), (5, 0.012835595)]",2
速度 京东 京东 速度 京东 电话 质量 正品,"[(0, 0.018536277), (1, 0.018686712), (2, 0.018733667), (3, 0.018715633), (4, 0.90668637), (5, 0.018641293)]",4
京东 小哥 态度 商品 京东 售后 态度 售后 态度 京东 省心 双开门 冰箱,"[(0, 0.011928045), (1, 0.011939581), (2, 0.011986613), (3, 0.011956029), (4, 0.9401904), (5, 0.011999371)]",4
钱包 京东 大冷 时间 精力 海欣 鱼丸 感觉 味道 不错 夹心 味道 味道,"[(0, 0.011957919), (1, 0.011956702), (2, 0.8273547), (3, 0.01196672), (4, 0.124801494), (5, 0.011962439)]",2
海欣 小丸子 京东 东西 家庭主妇 梦想 价格 心仪 产品 牙医 舒适 爸妈 京东 小哥 态度 一流,"[(1, 0.0845065), (2, 0.5355287), (4, 0.3499944)]",2
连续 火锅 火锅 火锅 食材 京东 整鸡 底料 很鲜 京东 整鸡 感觉 小时 样子 菌类 丸子 蔬菜 晚饭 京东,"[(2, 0.81684536), (3, 0.0850254), (5, 0.07292195)]",2
分量,"[(0, 0.08333511), (1, 0.083335094), (2, 0.583095), (3, 0.083543934), (4, 0.08335574), (5, 0.0833351)]",2
不错 味道 京东 份量 很足 价格 口味 味道 很鲜 物流 速度 隔天 京东,"[(0, 0.011917085), (1, 0.099581875), (2, 0.6593512), (3, 0.011946656), (4, 0.20527992), (5, 0.011923232)]",2
个头 很大 品牌 火锅 食品 不错 五颗星,"[(0, 0.02085598), (1, 0.020918066), (2, 0.73302007), (3, 0.020887814), (4, 0.18340947), (5, 0.020908605)]",2
牛丸 京东 海欣 品牌 香港 牛丸 口味 牛丸 时节 京东 商城 下单 京东 物流 速度 牛丸,"[(2, 0.66667646), (4, 0.2938997)]",2
鱼丸 理由 鱼丸 夹心 火锅 京东 冷链 食品 冷鲜 京东 价格 食用,"[(0, 0.012836934), (1, 0.012839295), (2, 0.52666277), (3, 0.012846663), (4, 0.33723173), (5, 0.09758258)]",2
不错 丸子 孩子 涮羊肉 丸子 丸子 时间 丸子 流油 丸子 不错 结实 小哥,"[(0, 0.012014371), (1, 0.012041758), (2, 0.93986416), (3, 0.012010328), (4, 0.012050408), (5, 0.01201901)]",2
小丸子 小火锅 心馅 味道 分量 京东 冷链 价格 京东 售后 上街 购物 京东 很好 京东,"[(0, 0.0104338415), (1, 0.010441839), (2, 0.7884999), (3, 0.010455658), (4, 0.16968803), (5, 0.010480759)]",2
小丸子 小火锅 心馅 味道 分量 京东 冷链 价格 京东 售后 上街 购物 京东 很好 京东,"[(0, 0.010433842), (1, 0.01044184), (2, 0.78848195), (3, 0.010455657), (4, 0.16970597), (5, 0.010480758)]",2
品牌 味道 配料表 京东 新鲜 冰块 化冻 情况 京东 平台 好爽 京东 京东 直爽 京东,"[(0, 0.010472386), (1, 0.01043436), (2, 0.1677102), (3, 0.010435322), (4, 0.7905136), (5, 0.010434209)]",4
产品质量 性价比 味道鲜美 京东 产品 京东 购物 京东 货品 成风 京东 努力 京东 购物 底线 初心 京东 京东 商城 优质 物流配送 热情 京东 商城 售后 客户 购物 购物 购物 体验,"[(0, 0.039806005), (3, 0.08170405), (4, 0.8622108)]",4
京东 东西 鱼丸 火锅 肉馅 丸子 京东 物流 小哥 热情 下单,"[(0, 0.013898712), (1, 0.013908706), (2, 0.6009808), (3, 0.114906915), (4, 0.24238785), (5, 0.0139170475)]",2
最爱 特地 便宜 价格,"[(0, 0.03357656), (1, 0.03336585), (2, 0.48715234), (3, 0.37892318), (4, 0.033568356), (5, 0.03341371)]",2
鱼丸 京东 物流 小哥 态度,"[(0, 0.027789623), (1, 0.027813701), (2, 0.3776858), (3, 0.027844481), (4, 0.51100457), (5, 0.027861908)]",4
牛肉丸 京东 物流 速度 隔天 食物 品质 信赖 牛丸后 保鲜 专用 泡沫 箱子 干冰 物流 师傅,"[(2, 0.13610622), (3, 0.16329217), (4, 0.6708788)]",4
撸货 酬宾 京东 冷链 物流配送 专业 小哥 专业 专用箱 惊喜 丸子 火锅 配料 神器 味道 价格,"[(2, 0.82207495), (5, 0.1383628)]",2
港式 牛丸 闺女 最爱 咖喱 味道 火锅 口感 馅料 味道 京东,"[(0, 0.013954085), (1, 0.013933182), (2, 0.9302154), (3, 0.013955762), (4, 0.014008494), (5, 0.013933065)]",2
海欣灌 福州 鱼丸 长购款 袋子 鱼丸 世家 鱼丸 细腻 弹性 味道 煲汤 牌子 信任 京东 保温箱 新鲜 京东,"[(2, 0.86194986), (4, 0.102760404)]",2
品牌 鱼丸 味道 品种 制品 营养 鱼丸 京东 商品 不错 下单 收货 冷链 物流 冰柜 盒子 很严 京东 物流,"[(2, 0.49035144), (4, 0.40895593), (5, 0.075515054)]",2
心怡 宝贝 质量 颜值 京东 老客户 信赖 京东 物品 京东 红包 信赖 品质 代言 小哥 敬业 细节 企业 形象 祝福 京东 商铺 财源 红包 拼团 领京豆,"[(2, 0.10501555), (4, 0.87013036)]",4
海欣 香港 牛丸,"[(0, 0.0416915), (1, 0.041680418), (2, 0.79155326), (3, 0.041678566), (4, 0.041717973), (5, 0.04167832)]",2
海欣 福州 灌汤 鱼丸 味道 京东,"[(0, 0.023816824), (1, 0.023823624), (2, 0.8806064), (3, 0.023848625), (4, 0.024081843), (5, 0.023822663)]",2
牛肉 丸子 家庭 效果 牛丸 确实 食用 特色 美味 边炉 京东 促销价 单打,"[(0, 0.0120272655), (1, 0.12087417), (2, 0.831119), (3, 0.011974069), (4, 0.012033651), (5, 0.011971851)]",2
福州 鱼丸 口感 火锅,"[(0, 0.033341482), (1, 0.03333782), (2, 0.8332744), (3, 0.03334261), (4, 0.033367295), (5, 0.03333643)]",2
正好 京东 买点 火锅 食材 肥牛 味道 不错 火锅 很嫩 口感 火锅 丸子 京东 严实 东西 都冰 很好,"[(2, 0.95597565)]",2
海霸王 和海欣 火锅 丸子 品牌 海霸王 香肠 常备 孩子 微波炉 充满 能量 产品 京东 下单 隔天 冷链,"[(2, 0.4603145), (4, 0.440996), (5, 0.07042038)]",2
海欣 蟹棒 口感 火锅 面条 鲜味 胃口 京东 物流 速度 师傅 服务态度 时间 专业 冰包,"[(0, 0.0104645165), (1, 0.010490544), (2, 0.8152859), (3, 0.010496669), (4, 0.010533415), (5, 0.14272888)]",2
丸子 不错 锅里煮 肥羊 肥牛 火锅 底料 米线 不错 京东 物流 朋友 便宜,"[(0, 0.012084342), (1, 0.07337421), (2, 0.87828285), (3, 0.012064454), (4, 0.012141513), (5, 0.012052669)]",2
京东 真牛 下单 神速 鱼丸 火锅 鱼肉 外皮 了厚 外壳 灌汤 馅料 鱼味 味道 蘸上 新鲜,"[(2, 0.8509926), (4, 0.109514326)]",2
信赖 京东 物流 五星,"[(0, 0.033345886), (1, 0.03334736), (2, 0.33819485), (3, 0.033386096), (4, 0.5280749), (5, 0.033650827)]",4
天气 速度 箱子 冰冻 状态,"[(0, 0.027790932), (1, 0.028122403), (2, 0.0278823), (3, 0.32762823), (4, 0.22177978), (5, 0.3667964)]",5
品质 京东 冷链 物流 速度,"[(0, 0.027795428), (1, 0.027989333), (2, 0.35532853), (3, 0.027985135), (4, 0.53306556), (5, 0.027836032)]",4
京东 火锅 东西 便宜 鱼丸 面粉 含量 鱼肉 馅料 馅料 充足 福州 口味 东北 口感 肉质,"[(0, 0.07035352), (2, 0.8902566)]",2
丸子 个头 很大 京东 东西 京东 东西 京东 火锅 东西 不错 品牌 牛丸 牛丸,"[(0, 0.011118746), (1, 0.011139241), (2, 0.9441875), (3, 0.011140391), (4, 0.011279198), (5, 0.011134938)]",2
价格 价格 价格 便宜 不错 时间 京东 下单 东西 京东,"[(0, 0.015173134), (1, 0.015180295), (2, 0.6644506), (3, 0.0152214365), (4, 0.27474588), (5, 0.015228673)]",2
丸子 涮羊肉 丸子 涮羊肉 涮羊肉 孩子 丸子 东西 涮羊肉 小哥 辛苦,"[(0, 0.013921784), (1, 0.0139583), (2, 0.9303155), (3, 0.01391859), (4, 0.0139688635), (5, 0.013916963)]",2
京东 发货 速度 产品质量 京东 服务态度,"[(0, 0.17146681), (1, 0.024004072), (2, 0.28590602), (3, 0.024113938), (4, 0.47051314), (5, 0.023996027)]",4
京东 生鲜食品 京东 生鲜食品 东西 硬棒 全程 冷链 冰袋 硬邦 京东 京东 京东 会员 原因 京东,"[(1, 0.07282), (2, 0.1608539), (3, 0.35271186), (4, 0.39383793)]",4
天气 味道 火锅 原料 京东 价格 火锅 味道 不错 牌子 东西,"[(0, 0.013900575), (1, 0.013909159), (2, 0.9302828), (3, 0.013924559), (4, 0.013986128), (5, 0.013996849)]",2
京东 东西 会员 京东 性价比 物流 质量 最大化 互通 性价比 抽奖 大礼包 心愿 客服 价格 不错 不错,"[(2, 0.73237634), (4, 0.23004623)]",2
海欣 牛肉丸 京东 时拍 味道 不错 价钱 一分货 价钱 牛肉丸 牛肉丸 亲们 拍点,"[(0, 0.2372839), (1, 0.085590824), (2, 0.6412603), (3, 0.011932704), (4, 0.011999787), (5, 0.011932509)]",2
京东 质量 不错 水果 肉品,"[(0, 0.027873654), (1, 0.027872115), (2, 0.86020195), (3, 0.027920887), (4, 0.0282495), (5, 0.027881859)]",2
小朋友,"[(0, 0.08348914), (1, 0.08336429), (2, 0.58308053), (3, 0.08334573), (4, 0.083374515), (5, 0.08334582)]",2
丸子 领券,"[(0, 0.055801068), (1, 0.719611), (2, 0.057711385), (3, 0.05561153), (4, 0.055641122), (5, 0.055623934)]",1
老牌子 鱼丸 韧性 京东 舒心 菜市场 冰箱 强大 京东 快捷 全程 肉品 冷藏 冷链 快捷 完美 赞美 京东 冷藏,"[(1, 0.21129343), (2, 0.54616535), (3, 0.21719305)]",2
物流 很棒 新鲜 火锅,"[(0, 0.033435907), (1, 0.033341534), (2, 0.8329326), (3, 0.033471525), (4, 0.033461355), (5, 0.033357065)]",2
强力 京东 商城,"[(0, 0.041737538), (1, 0.04170263), (2, 0.041740898), (3, 0.04172324), (4, 0.79132855), (5, 0.041767128)]",4
零点 袋子 价格 半价 便宜 京东 物流 完美 速度 苏州 完美 小哥 热情 冰箱 京东 美食,"[(1, 0.16319786), (2, 0.7128704), (3, 0.094240785), (4, 0.01000006)]",2
零点 袋子 价格 半价 便宜 京东 物流 完美 速度 苏州 完美 小哥 热情 冰箱 京东 美食 火锅 袋子 美味,"[(1, 0.132736), (2, 0.7675326), (3, 0.07453931)]",2
肉丸 啥意思 切开 胡萝卜 面条 味道 儿子 味道 鲜美 孩子 牛肉 香精 牛肉丸,"[(0, 0.011950623), (1, 0.011950757), (2, 0.85712487), (3, 0.011947704), (4, 0.011961554), (5, 0.09506449)]",2
丸子 价格 平台 京东 价格便宜 东西 能省 丸子 下锅 味道 不错 味道,"[(0, 0.012857388), (1, 0.012843359), (2, 0.83614695), (3, 0.012837809), (4, 0.01314468), (5, 0.11216982)]",2
盘子 蟹味 价格 京东 便宜 半价 火锅 不错 京东 东西 速度 服务态度,"[(0, 0.012855825), (1, 0.012886106), (2, 0.9354513), (3, 0.012905568), (4, 0.013029025), (5, 0.01287212)]",2
京东 下单 小哥 火锅 品牌 豆腐 和蟹棒 蟹棒 豆腐 京东 下单,"[(0, 0.014040792), (1, 0.014541382), (2, 0.41195324), (3, 0.014053426), (4, 0.5313506), (5, 0.014060542)]",4
欣爆 牛肉丸 火锅 美味 便宜,"[(0, 0.027913285), (1, 0.027901083), (2, 0.86038184), (3, 0.027922524), (4, 0.027971525), (5, 0.027909722)]",2
京东 质量 速度 保鲜 干净 小哥 购物 蔬菜水果 海鲜 不错 便宜 新鲜 购物,"[(0, 0.011933102), (1, 0.011961417), (2, 0.94013023), (3, 0.011968589), (4, 0.0120652085), (5, 0.011941406)]",2
福州 五星,"[(0, 0.055557333), (1, 0.055557333), (2, 0.7218589), (3, 0.055560723), (4, 0.055558935), (5, 0.055906788)]",2
信赖 京东 新鲜 快捷 小哥 态度 五星 信赖 京东 新鲜 快捷 小哥 态度 五星,"[(0, 0.011113295), (1, 0.011120793), (2, 0.52442664), (3, 0.011125006), (4, 0.4310522), (5, 0.011162059)]",2
味道 不错,"[(0, 0.055686887), (1, 0.05561149), (2, 0.72174156), (3, 0.05561587), (4, 0.055701837), (5, 0.055642337)]",2
冰箱 塞满,"[(0, 0.055566944), (1, 0.05557451), (2, 0.05612276), (3, 0.055721603), (4, 0.72144806), (5, 0.055566095)]",4
不错 性价比 火锅 京东,"[(0, 0.033386193), (1, 0.03340482), (2, 0.8323793), (3, 0.03342994), (4, 0.033995878), (5, 0.033403877)]",2
老朋友 对折 券用 产品 冰箱 味道 关键 产品 味道鲜美 口感 爽滑 油腻 感觉 火锅 舒服 京东 物流 冰块,"[(1, 0.07459145), (2, 0.6994921), (3, 0.06880787), (4, 0.1392868)]",2
京东 商品质量 京东 商品 价格便宜 质量 不错 京东 物流配送 速度 质量 全家人,"[(0, 0.09839925), (1, 0.012875795), (2, 0.23877913), (3, 0.012909445), (4, 0.53248173), (5, 0.10455468)]",4
京东 商品 价格便宜 质量 范围广 速度 全家人 宝妈 时间 京东 东西 经济 性价比 正品 保证质量 发货 速度,"[(0, 0.06875818), (2, 0.50567853), (4, 0.2522533), (5, 0.15453418)]",2
京东 下单 新鲜 冰箱 员人,"[(0, 0.027888862), (1, 0.027892374), (2, 0.028256498), (3, 0.027952818), (4, 0.8600896), (5, 0.027919807)]",4
京东 食物 过程,"[(0, 0.041676864), (1, 0.04168745), (2, 0.041945543), (3, 0.04170585), (4, 0.7912405), (5, 0.041743755)]",4
丸子 质量 不错,"[(0, 0.041766983), (1, 0.041736573), (2, 0.79125565), (3, 0.04172873), (4, 0.041780684), (5, 0.041731387)]",2
质量 很好 价钱 便宜 京东 正品,"[(0, 0.1886472), (1, 0.023823997), (2, 0.41747823), (3, 0.023882626), (4, 0.32231742), (5, 0.023850514)]",2
京东 态度 不错 京东 冷链 价格 丸子 冰箱 京东 手机 电子产品 品质 信赖 京东 售后 上街 购物 京东 很好 京东,"[(2, 0.3175423), (4, 0.6505725)]",4
蟹棒 不错 质量 力度 价格便宜 京东 东西 价格比 实体店 便宜 亲戚 朋友 京东 忠实 消费者,"[(0, 0.08450877), (1, 0.010441142), (2, 0.12524192), (3, 0.01045623), (4, 0.6861219), (5, 0.08323012)]",4
物流,"[(0, 0.08343744), (1, 0.08339), (2, 0.5815114), (3, 0.08361756), (4, 0.08445294), (5, 0.083590664)]",2
魚丸 不错 火锅 味道,"[(0, 0.03355888), (1, 0.033535097), (2, 0.8322476), (3, 0.033534322), (4, 0.03358026), (5, 0.03354381)]",2
火锅 配菜 合格 食物 品牌 信赖,"[(0, 0.023876054), (1, 0.18142985), (2, 0.02429483), (3, 0.02386003), (4, 0.72261286), (5, 0.023926388)]",4
不错 海欣 鱼丸 加点 萝卜青菜 美味 美味 鱼丸 火锅 最合适 小孩子,"[(0, 0.013956058), (1, 0.09837117), (2, 0.7592718), (3, 0.013950961), (4, 0.013962686), (5, 0.100487344)]",2
牛丸 涮锅 丸子 类产品 最爱 常备 牛丸 人能,"[(0, 0.018641816), (1, 0.018594395), (2, 0.90696585), (3, 0.01861411), (4, 0.018594952), (5, 0.018588858)]",2
不错 感觉 口感 京东 很棒 京东 感觉 京东 箱子 东西 四楼 优质 体验 信任 京东 严实 物流 下单 京东 物流 快捷 小哥 用心 四楼 个大,"[(2, 0.48023242), (3, 0.06522228), (4, 0.34277183), (5, 0.09880869)]",2
鱼丸 丸子 京东,"[(0, 0.041698743), (1, 0.04175111), (2, 0.7902614), (3, 0.041806452), (4, 0.042770255), (5, 0.04171204)]",2
京东 丸子,"[(0, 0.055642385), (1, 0.055745434), (2, 0.4896548), (3, 0.05571309), (4, 0.28763324), (5, 0.05561103)]",2
丸子 火锅 螺蛳 丸子,"[(0, 0.033509925), (1, 0.033628877), (2, 0.8323798), (3, 0.033480793), (4, 0.033516254), (5, 0.033484302)]",2
半价 下单 五星,"[(0, 0.041713733), (1, 0.041744083), (2, 0.78947324), (3, 0.042114783), (4, 0.04269961), (5, 0.042254545)]",2
食品 味道鲜美 营养 全家人 京东 品牌 信赖 质量 食品 产品 保质期 食品 卫生 京东 产品 保质期 很好 信赖,"[(0, 0.06346019), (2, 0.10514889), (3, 0.07556039), (4, 0.6061099), (5, 0.14092965)]",4
发货 完整 货实 完美 网购,"[(0, 0.028152252), (1, 0.20472297), (2, 0.2156646), (3, 0.028281813), (4, 0.4950169), (5, 0.028161488)]",4
牛丸 必备品 品牌 钟意 满嘴 爆油 味道 咸淡 口感 劲道 怪味,"[(0, 0.013929275), (1, 0.013936093), (2, 0.9303187), (3, 0.013927778), (4, 0.013950735), (5, 0.013937451)]",2
海欣 丸类 京东 习惯 京东 东西 京东 发货 时用 箱子 干冰 完整 丸子 火锅,"[(0, 0.011223662), (1, 0.011254952), (2, 0.65767425), (3, 0.2972225), (4, 0.011394611), (5, 0.01122999)]",2
便宜 力度 很大 食材 新鲜 京东 购物,"[(0, 0.1516688), (1, 0.020895967), (2, 0.7645051), (3, 0.020902405), (4, 0.021140905), (5, 0.020886818)]",2
牛筋 螺蛳 丸子 京东 速度 小哥,"[(0, 0.023919709), (1, 0.024119576), (2, 0.8795052), (3, 0.024050161), (4, 0.024461677), (5, 0.023943627)]",2
小包装 口感 京东 物流 天气 很棒,"[(0, 0.023879858), (1, 0.023875922), (2, 0.87996656), (3, 0.02396592), (4, 0.024146859), (5, 0.024164865)]",2
海欣 鱼丸 京东 凑单 东西 浪费 家人 锅汤 过瘾 资深 吃货 过日子 食材 乐趣 营养 美味 关键 节约开支 幸福 指数,"[(2, 0.7920312), (4, 0.076080784), (5, 0.10779838)]",2
个头 味道,"[(0, 0.055562798), (1, 0.055559453), (2, 0.72219354), (3, 0.055560935), (4, 0.055562753), (5, 0.055560496)]",2
物流 冰冻 实体店 便宜,"[(0, 0.033367224), (1, 0.03338421), (2, 0.033596333), (3, 0.033405066), (4, 0.83283484), (5, 0.03341231)]",4
不错,"[(0, 0.08378417), (1, 0.08352639), (2, 0.58167535), (3, 0.0835367), (4, 0.083844155), (5, 0.08363325)]",2
正好 京东 类产品 感觉 价格 不错 冰箱,"[(0, 0.020897621), (1, 0.0208823), (2, 0.8952931), (3, 0.020927168), (4, 0.021116095), (5, 0.020883696)]",2
京东 购物 体验 优惠券 速度,"[(0, 0.027829679), (1, 0.027974429), (2, 0.8598328), (3, 0.028101897), (4, 0.028374149), (5, 0.027887011)]",2
物流 冷鲜 化冻 情况 早餐 火锅 鱼丸 整体 鲜美 弹感 内馅 新鲜 汤汁,"[(0, 0.15496203), (1, 0.012008662), (2, 0.7198361), (3, 0.012004669), (4, 0.012020669), (5, 0.08916785)]",2
孩子 面条 火锅,"[(0, 0.04171025), (1, 0.041681256), (2, 0.791504), (3, 0.0417032), (4, 0.04172827), (5, 0.041672982)]",2
价格 美丽 京东 小时 新鲜 京东 小哥 态度,"[(0, 0.01855122), (1, 0.018801402), (2, 0.3164379), (3, 0.019047188), (4, 0.608367), (5, 0.018795256)]",4
拍照片 桌子 东西 京东 熟客 价格,"[(0, 0.02418971), (1, 0.02419703), (2, 0.61927944), (3, 0.28362122), (4, 0.02449666), (5, 0.024215974)]",2
品牌 爆汁 鱼丸 不错 性价比,"[(0, 0.027815742), (1, 0.02785415), (2, 0.8607576), (3, 0.027793817), (4, 0.027917836), (5, 0.027860891)]",2
鱼丸 特价 新鲜 味道鲜美 火锅 方便面 酸辣粉 丸子,"[(0, 0.018603329), (1, 0.018604884), (2, 0.7947661), (3, 0.13081007), (4, 0.01861641), (5, 0.018599214)]",2
京东 速度 下单 黄鱼 鱼丸 品质 不错,"[(0, 0.020927168), (1, 0.021020433), (2, 0.17508952), (3, 0.021028593), (4, 0.74098), (5, 0.020954285)]",4
口感 味道 不错 价格,"[(0, 0.033383384), (1, 0.033357035), (2, 0.8330857), (3, 0.033371534), (4, 0.033416305), (5, 0.03338604)]",2
物流 海带 巴适,"[(0, 0.6221873), (1, 0.04225075), (2, 0.043341346), (3, 0.042431053), (4, 0.2073762), (5, 0.042413373)]",0
价格 合适 涮锅 很棒,"[(0, 0.03351688), (1, 0.03335376), (2, 0.83275926), (3, 0.033547305), (4, 0.03344825), (5, 0.033374567)]",2
性价比 不错 冰箱,"[(0, 0.041738495), (1, 0.041744217), (2, 0.79104966), (3, 0.0417633), (4, 0.041960295), (5, 0.04174403)]",2
东西 懒人 手机 下单 价格 东西 结实 商品 新鲜 下单 实体,"[(0, 0.013914179), (1, 0.013916359), (2, 0.7994456), (3, 0.14462392), (4, 0.014132298), (5, 0.013967641)]",2
鱼丸 大雪 京东,"[(0, 0.041998155), (1, 0.042032566), (2, 0.78878355), (3, 0.042129695), (4, 0.043022014), (5, 0.042034026)]",2
速度,"[(0, 0.08333348), (1, 0.58102196), (2, 0.08384397), (3, 0.084542654), (4, 0.08377368), (5, 0.08348424)]",1
京东 东西 价格低廉 京东 师傅 很熟 京东 东西 完美 主妇,"[(0, 0.015381337), (1, 0.11986556), (2, 0.6295027), (3, 0.015409612), (4, 0.20404126), (5, 0.01579958)]",2
物流 态度 物品 新鲜,"[(0, 0.033353213), (1, 0.033360984), (2, 0.03402), (3, 0.033414632), (4, 0.8323962), (5, 0.033454955)]",4
很好 商品质量 信赖,"[(0, 0.04170337), (1, 0.041682985), (2, 0.29165483), (3, 0.04189008), (4, 0.54139936), (5, 0.041669354)]",4
图片 诱人 三鲜 砂锅 图片 味道 汤汁 鲜美 汤锅 味精,"[(0, 0.015433083), (1, 0.0154048195), (2, 0.69411623), (3, 0.015405623), (4, 0.24423167), (5, 0.015408604)]",2
味道 不错 京东 信赖 京东 冷链,"[(0, 0.023841659), (1, 0.023831079), (2, 0.46207353), (3, 0.023848107), (4, 0.44257), (5, 0.023835666)]",2
火锅 丸子 含量 性价比,"[(0, 0.24766684), (1, 0.033417437), (2, 0.6186723), (3, 0.033445492), (4, 0.033415742), (5, 0.033382177)]",2
发货 严实 价格 味道 不错 老板 冰箱,"[(0, 0.020850588), (1, 0.020843124), (2, 0.8956311), (3, 0.020895828), (4, 0.020919371), (5, 0.020859985)]",2
价格 合适 京东 上买冰鲜 东西,"[(0, 0.027954863), (1, 0.027919916), (2, 0.85983485), (3, 0.028012512), (4, 0.028341874), (5, 0.02793598)]",2
孩子 鱼丸 西红柿 金针菇 天气 热气 很鲜,"[(0, 0.02093519), (1, 0.0209551), (2, 0.8950569), (3, 0.020957459), (4, 0.020936048), (5, 0.021159329)]",2
口感,"[(0, 0.0833529), (1, 0.083344296), (2, 0.5831369), (3, 0.08343183), (4, 0.083390996), (5, 0.08334305)]",2
京东 不错,"[(0, 0.055882417), (1, 0.055712994), (2, 0.056672145), (3, 0.055760674), (4, 0.72018296), (5, 0.055788804)]",4
完美 家宴 京东,"[(0, 0.042531732), (1, 0.5608298), (2, 0.04266246), (3, 0.04263453), (4, 0.26877668), (5, 0.042564727)]",1
鱼丸 细致 份量 生产日期 新鲜 京东 购物,"[(0, 0.020842627), (1, 0.15017805), (2, 0.7661048), (3, 0.020923728), (4, 0.021084791), (5, 0.02086595)]",2
发货 下单 电梯 冰鲜 东西 辛苦 用券,"[(0, 0.020852868), (1, 0.02085836), (2, 0.42012456), (3, 0.020973785), (4, 0.021001006), (5, 0.49618942)]",5
物流 东西 不错 火锅,"[(0, 0.033381484), (1, 0.033356577), (2, 0.8330216), (3, 0.03337853), (4, 0.033480108), (5, 0.03338167)]",2
海欣 香港 肉丸 牛肉 风味 火锅 食材 食材 味道 价格 五星,"[(0, 0.013915068), (1, 0.013909233), (2, 0.8482704), (3, 0.09604843), (4, 0.013929945), (5, 0.013926847)]",2
京东 火锅 材料 正好 价格 关键 材料 丸子 肉质 弹性 女儿,"[(0, 0.013900011), (1, 0.29054675), (2, 0.6536765), (3, 0.013910855), (4, 0.014008466), (5, 0.013957411)]",2
发货 完整 海欣 鱼丸 信赖 京东,"[(0, 0.023815729), (1, 0.023817968), (2, 0.59009415), (3, 0.023886556), (4, 0.31455618), (5, 0.02382941)]",2
味道 不错 期望值 发货 速度 仔细 严实 物流 公司 服务态度 速度 购物,"[(0, 0.012827049), (1, 0.012885829), (2, 0.93566483), (3, 0.01290073), (4, 0.012870393), (5, 0.012851159)]",2
牌子 爆汁 鱼丸 味道 不错 严实 发货 速度,"[(0, 0.018529253), (1, 0.0185922), (2, 0.90713805), (3, 0.018623462), (4, 0.01857537), (5, 0.018541718)]",2
京东 体验 不错 时间 新鲜 味道 正宗 冷链 难题 京东 物流 小哥 辛苦 京东 奖金,"[(0, 0.010457177), (1, 0.010462701), (2, 0.9474744), (3, 0.010486844), (4, 0.010645663), (5, 0.010473204)]",2
冷链 质量,"[(0, 0.055607613), (1, 0.055572424), (2, 0.7219498), (3, 0.05562682), (4, 0.055636324), (5, 0.05560699)]",2
京东 物流 关键 客服 速度,"[(0, 0.027792709), (1, 0.31570628), (2, 0.027995959), (3, 0.02811376), (4, 0.57217056), (5, 0.028220724)]",4
不错 物流 习惯 京东 东西 五星,"[(0, 0.023832379), (1, 0.023853168), (2, 0.87966144), (3, 0.024653267), (4, 0.024114173), (5, 0.023885548)]",2
孩子 牌子 京东 物流 太棒了 物流 京东 京东,"[(0, 0.018538656), (1, 0.018686868), (2, 0.3307761), (3, 0.018595887), (4, 0.5948602), (5, 0.01854225)]",4
丸子 京东 物流,"[(0, 0.041711856), (1, 0.041758444), (2, 0.79008025), (3, 0.041844737), (4, 0.04285928), (5, 0.04174541)]",2
运货 速度 特价 价格 冷藏箱 冷藏 很好 分量 鱼丸 不错,"[(0, 0.015214234), (1, 0.015249429), (2, 0.80839956), (3, 0.13068064), (4, 0.015235941), (5, 0.015220203)]",2
物流 卖家 家人 信赖 京东 辛苦 小哥,"[(0, 0.020839566), (1, 0.020846458), (2, 0.41518152), (3, 0.02086723), (4, 0.5014156), (5, 0.020849632)]",4
