内容,主题概率,主题类型
香精 太重,"[(0, 0.055627543), (1, 0.05562744), (2, 0.7218609), (3, 0.055627856), (4, 0.055628084), (5, 0.05562821)]",2
东西 特价,"[(0, 0.0555662), (1, 0.055569343), (2, 0.7220891), (3, 0.055592835), (4, 0.055601645), (5, 0.05558089)]",2
稀拉,"[(0, 0.0921283), (1, 0.53910106), (2, 0.09217045), (3, 0.092160895), (4, 0.0922071), (5, 0.09223218)]",1
增稠剂,"[(0, 0.0848002), (1, 0.083973855), (2, 0.08397768), (3, 0.5792868), (4, 0.08397992), (5, 0.08398153)]",3
商品 库存 芝士 过分 网购 商品,"[(0, 0.023914747), (1, 0.02395619), (2, 0.02464009), (3, 0.024243219), (4, 0.8793389), (5, 0.023906844)]",4
稀糊 固态,"[(0, 0.057048358), (1, 0.057046026), (2, 0.7147309), (3, 0.05705294), (4, 0.057059154), (5, 0.057062592)]",2
太酸 味道,"[(0, 0.28350976), (1, 0.061631773), (2, 0.46979117), (3, 0.061665934), (4, 0.061692018), (5, 0.06170934)]",2
下单 收货 生产日期,"[(0, 0.04173435), (1, 0.04170166), (2, 0.041886393), (3, 0.7903512), (4, 0.042231936), (5, 0.042094454)]",3
下单 酸奶 生产日期 收货 保质期 库存,"[(0, 0.023865666), (1, 0.023888629), (2, 0.14155298), (3, 0.7626155), (4, 0.024103988), (5, 0.023973225)]",3
冰袋 酸奶 冰箱 冷藏 样子 酸奶 豆花 成型 实体店,"[(0, 0.016862541), (1, 0.016950134), (2, 0.017232325), (3, 0.7984069), (4, 0.13360548), (5, 0.016942628)]",3
酸奶,"[(0, 0.08335377), (1, 0.083347805), (2, 0.083478056), (3, 0.5831101), (4, 0.08337168), (5, 0.08333862)]",3
新鲜,"[(0, 0.08335881), (1, 0.083341554), (2, 0.58285844), (3, 0.08334753), (4, 0.08372868), (5, 0.083365)]",2
酸奶 坑害 消费者,"[(0, 0.04244193), (1, 0.04245265), (2, 0.04246099), (3, 0.78727853), (4, 0.042790197), (5, 0.042575747)]",3
垃圾,"[(0, 0.08337067), (1, 0.083348), (2, 0.08338807), (3, 0.08335634), (4, 0.0834756), (5, 0.58306134)]",5
保质期 新鲜,"[(0, 0.055584285), (1, 0.05557672), (2, 0.057080083), (3, 0.05588548), (4, 0.72027767), (5, 0.05559579)]",4
生产日期,"[(0, 0.083356045), (1, 0.08335042), (2, 0.08459436), (3, 0.5816649), (4, 0.0834088), (5, 0.08362549)]",3
低温 泡沫 冰块 发货 发货,"[(0, 0.027782487), (1, 0.02778925), (2, 0.028115505), (3, 0.028035263), (4, 0.8604406), (5, 0.027836882)]",4
发货 泡沫 保温 低温 泡沫 冰块 发货,"[(0, 0.020837218), (1, 0.020842586), (2, 0.021049635), (3, 0.020984495), (4, 0.89542), (5, 0.020866062)]",4
牛奶 好歹 东西 固定 泡沫 箱放 塑料袋 发货 简陋,"[(0, 0.017784147), (1, 0.016833093), (2, 0.017263975), (3, 0.9131695), (4, 0.01715965), (5, 0.017789634)]",3
丝状 豆腐脑 块状 小桶 温度 不凉 说明书,"[(0, 0.02097681), (1, 0.02119809), (2, 0.020899989), (3, 0.8949607), (4, 0.02090318), (5, 0.021061258)]",3
玩意 冰袋 东西 脏污,"[(0, 0.033549253), (1, 0.03361558), (2, 0.48174712), (3, 0.033673815), (4, 0.21321839), (5, 0.20419581)]",2
盒子,"[(0, 0.08333737), (1, 0.08338562), (2, 0.08348384), (3, 0.5828326), (4, 0.08359277), (5, 0.08336785)]",3
箱子,"[(0, 0.083370246), (1, 0.08423657), (2, 0.08337048), (3, 0.58228153), (4, 0.08337055), (5, 0.08337063)]",3
糟糕,"[(0, 0.08341362), (1, 0.08342498), (2, 0.083413966), (3, 0.58278656), (4, 0.08341425), (5, 0.0835466)]",3
冷鲜 东西连 泡沫 塑料袋,"[(0, 0.033913158), (1, 0.03379348), (2, 0.22997467), (3, 0.033992227), (4, 0.03432774), (5, 0.6339987)]",5
